Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,1788,1668,2253,2336,2590,1465,2871,0.000%,8.23588,2.03,8.43
TOTAL,400,1788,1668,2253,2336,2590,1465,2871,0.000%,8.23588,2.03,8.43
