Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,1916,1822,2321,2403,2581,1592,3646,0.000%,6.99130,1.98,7.09
TOTAL,200,1916,1822,2321,2403,2581,1592,3646,0.000%,6.99130,1.98,7.09
