Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,20,2089,1869,2477,2629,2916,1619,2916,0.000%,1.53046,0.38,1.57
TOTAL,20,2089,1869,2477,2629,2916,1619,2916,0.000%,1.53046,0.38,1.57
