Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,500,2031,1814,2483,2661,4590,1615,10499,0.000%,7.21053,2.04,7.31
TOTAL,500,2031,1814,2483,2661,4590,1615,10499,0.000%,7.21053,2.04,7.31
