Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,1839,1453,3109,4052,6632,833,7309,0.000%,4.32059,1.21,10.55
TOTAL,100,1839,1453,3109,4052,6632,833,7309,0.000%,4.32059,1.21,10.55
