Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,1899,1751,2304,2361,4176,1565,4416,0.000%,5.44514,1.54,5.52
TOTAL,100,1899,1751,2304,2361,4176,1565,4416,0.000%,5.44514,1.54,5.52
