Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,592,579,663,663,689,528,689,0.000%,6.65779,1.87,16.25
TOTAL,10,592,579,663,663,689,528,689,0.000%,6.65779,1.87,16.25
