Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,500,2331,2251,2826,2954,3240,1634,3402,0.000%,8.22463,2.03,8.42
TOTAL,500,2331,2251,2826,2954,3240,1634,3402,0.000%,8.22463,2.03,8.42
