Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,1860,1754,2284,2349,2587,1565,3406,0.000%,8.28123,2.35,8.39
TOTAL,400,1860,1754,2284,2349,2587,1565,3406,0.000%,8.28123,2.35,8.39
