Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2450,510,243,836,1441,5194,226,48736,0.000%,30.93122,8.67,75.52
TOTAL,2450,510,243,836,1441,5194,226,48736,0.000%,30.93122,8.67,75.52
