Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,150,1778,1674,2224,2309,2449,1499,2502,0.000%,6.38325,1.58,6.53
TOTAL,150,1778,1674,2224,2309,2449,1499,2502,0.000%,6.38325,1.58,6.53
