Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,50,1845,1743,2308,2347,2388,1568,2388,0.000%,3.55013,1.01,3.60
TOTAL,50,1845,1743,2308,2347,2388,1568,2388,0.000%,3.55013,1.01,3.60
