Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,250,1763,1649,2212,2296,2475,1443,2726,0.000%,7.47630,1.85,7.65
TOTAL,250,1763,1649,2212,2296,2475,1443,2726,0.000%,7.47630,1.85,7.65
