Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,250,1929,1819,2368,2448,3033,1577,3259,0.000%,7.44291,2.11,7.54
TOTAL,250,1929,1819,2368,2448,3033,1577,3259,0.000%,7.44291,2.11,7.54
