Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,20,2107,2048,2491,2504,2606,1647,2606,0.000%,2.32748,0.58,2.38
TOTAL,20,2107,2048,2491,2504,2606,1647,2606,0.000%,2.32748,0.58,2.38
