Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,450,1781,1685,2229,2303,2453,1460,2645,0.000%,8.35577,2.06,8.55
TOTAL,450,1781,1685,2229,2303,2453,1460,2645,0.000%,8.35577,2.06,8.55
