Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,13016,12351,14881,14881,16699,11144,16699,0.000%,.32393,0.71,0.33
TOTAL,10,13016,12351,14881,14881,16699,11144,16699,0.000%,.32393,0.71,0.33
